Date,AFE.JO,ARL.JO,VKE.JO,TSG.JO,TCP.JO,SPG.JO,TON.JO,FFB.JO,RLO.JO,RBP.JO,SUI.JO,CML.JO,JSE.JO,FFA.JO,LBH.JO,NPK.JO,PSG.JO,MUR.JO,AIP.JO,AEG.JO,BAT.JO,HYP.JO,RES.JO,AVI.JO,INL.JO,ARI.JO,PIK.JO,PPC.JO,ACL.JO,MSM.JO,LHC.JO,SPP.JO,CCO.JO,NTC.JO,BAW.JO,EXX.JO,RDF.JO,NRP.JO,TKG.JO,CLS.JO,TRU.JO,SAP.JO,DSY.JO,CPI.JO,TFG.JO,KIO.JO,HAR.JO,GRT.JO,TBS.JO,MRP.JO,NED.JO,WHL.JO,REM.JO,BVT.JO,MNP.JO,SLM.JO,SHP.JO,VOD.JO,APN.JO,AMS.JO,SNH.JO,ABG.JO,GFI.JO,IMP.JO,BTI.JO,ANG.JO,FSR.JO,CFR.JO,SBK.JO,BHP.JO,MTN.JO,SOL.JO,AGL.JO,NPN.JO
2000-01-18,202896.0,,,17821.0,,258367.0,148496.0,,414433.0,,,636609.0,,,77532.0,0.0,1901111.0,2836636.0,,2801847.0,455387.0,,,254560.0,2041772.0,105070.0,283316.0,15032.0,173984.0,1694893.0,95000.0,,,983671.0,919636.0,,,,,781685.0,1694893.0,570124.0,57435.0,872520.0,645627.0,,121469.0,,439925.0,238641.0,273977.0,12161866.0,24645.0,,,10431653.0,3045744.0,,218872.0,635585.0,89422.0,2092682.0,1198531.0,2081056.0,5700.0,185673.0,10414792.0,0.0,2957989.0,1752997.0,3046287.0,462521.0,438256.0,1192634.0
2000-01-19,156745.0,,,95981.0,,175601.0,58733.0,,64585.0,,,222829.0,,,19863.0,0.0,818102.0,1979155.0,,359249.0,84440.0,,,740477.0,258602.0,9730.0,495567.0,360771.0,111063.0,86373.0,13000.0,,,700383.0,761009.0,,,,,151518.0,86373.0,438397.0,904399.0,368644.0,694465.0,,474783.0,,435358.0,101712.0,263940.0,330055.0,9003.0,,,2108933.0,47905.0,,3550318.0,245652.0,5169198.0,535417.0,1468169.0,1829760.0,2100.0,294212.0,6018579.0,0.0,1448403.0,1969159.0,3303728.0,660016.0,416052.0,265954.0
2000-01-20,103286.0,,,56916.0,,181169.0,185559.0,,6226700.0,,,57657.0,,,93264.0,0.0,792674.0,268029.0,,637393.0,115698.0,,,678120.0,398171.0,34700.0,178356.0,195418.0,760377.0,428719.0,0.0,,,537392.0,1153954.0,,,,,447265.0,428719.0,1585470.0,667505.0,482055.0,109290.0,,127007.0,,225653.0,63000.0,196118.0,1475062.0,6002.0,,,10787166.0,81960.0,,200495.0,2305026.0,209523.0,703173.0,1168857.0,1625712.0,1400.0,328719.0,6777231.0,0.0,2688241.0,1074057.0,1450999.0,1874042.0,216944.0,2191633.0
2000-01-21,192442.0,,,22605.0,,70041.0,139128.0,,259771.0,,,101323.0,,,134898.0,0.0,554701.0,393533.0,,1377422.0,47109.0,,,684717.0,243684.0,146302.0,123431.0,0.0,276164.0,72270.0,1000.0,,,516310.0,2260649.0,,,,,165167.0,72270.0,1334294.0,484698.0,3513279.0,336856.0,,154269.0,,307103.0,7458.0,300068.0,1420371.0,207845.0,,,4339661.0,43520.0,,7447.0,71273.0,31953.0,607714.0,405926.0,2582240.0,48400.0,192699.0,7388515.0,0.0,1703058.0,1499949.0,4316249.0,606350.0,144144.0,575973.0
2000-01-24,164280.0,,,11129.0,,68982.0,155110.0,,1261225.0,,,72541.0,,,14193.0,0.0,3219153.0,218693.0,,343720.0,103402.0,,,1215790.0,680899.0,22273.0,2883623.0,46148.0,139913.0,120030.0,0.0,,,245731.0,626251.0,,,,,317393.0,120030.0,271224.0,246000.0,1502263.0,376673.0,,110846.0,,188906.0,1948.0,86083.0,551378.0,171932.0,,,1625202.0,212600.0,,154473.0,253621.0,59400.0,161358.0,223472.0,926584.0,40100.0,119864.0,1292625.0,0.0,1413468.0,1070197.0,1452453.0,162777.0,153608.0,237744.0
2000-01-25,85125.0,,,4781.0,,181499.0,65539.0,,46166.0,,,63122.0,,,32175.0,0.0,1209723.0,184085.0,,868256.0,340133.0,,,2686872.0,442993.0,205704.0,155980.0,150321.0,1047319.0,149744.0,0.0,,,1471760.0,300825.0,,,,,2036910.0,149744.0,378515.0,117635.0,92278.0,321350.0,,259359.0,,270639.0,38715.0,137700.0,638804.0,322426.0,,,3421493.0,12130.0,,54410.0,362082.0,106597.0,1626510.0,1187601.0,1568936.0,75200.0,362819.0,2572026.0,0.0,2140458.0,1550559.0,1407749.0,516699.0,287924.0,170813.0
2000-01-26,223547.0,,,10033.0,,71637.0,82315.0,,227940.0,,,73778.0,,,190599.0,0.0,764151.0,1395156.0,,1243903.0,42516.0,,,703132.0,386193.0,551867.0,606409.0,3137211.0,913386.0,119236.0,1500.0,,,1090524.0,836698.0,,,,,111406.0,119236.0,580304.0,176362.0,376433.0,226496.0,,147775.0,,568456.0,36684.0,119208.0,1563677.0,559723.0,,,6071626.0,21341.0,,8735.0,152483.0,36987.0,712341.0,764256.0,514392.0,130500.0,115587.0,4372494.0,0.0,1366272.0,4182467.0,1128343.0,648118.0,894348.0,342900.0
2000-01-27,195789.0,,,68779.0,,70465.0,118122.0,,147534.0,,,62368.0,,,56631.0,0.0,105334.0,92108.0,,1488300.0,67552.0,,,287652.0,532287.0,171655.0,28639.0,1065629.0,682587.0,187267.0,9500.0,,,15244477.0,805263.0,,,,,351219.0,187267.0,784943.0,81945.0,264519.0,72275.0,,207464.0,,782857.0,9504.0,134381.0,1183562.0,2191386.0,,,4147643.0,72150.0,,15586.0,96338.0,67021.0,3494038.0,333660.0,684200.0,511100.0,83954.0,5895065.0,0.0,1813954.0,3595311.0,1062854.0,475670.0,521976.0,481565.0
2000-01-28,176018.0,,,8805.0,,49938.0,120866.0,,298943.0,,,27793.0,,,67506.0,0.0,485386.0,401073.0,,1678788.0,310060.0,,,3217488.0,486823.0,264939.0,632700.0,225482.0,173835.0,258902.0,20000.0,,,1401078.0,572778.0,,,,,479124.0,258902.0,390474.0,153126.0,540886.0,77734.0,,41173.0,,183687.0,27004.0,140865.0,1465718.0,51343.0,,,2292622.0,1720762.0,,120811.0,1071861.0,848412.0,2204905.0,1082100.0,1642280.0,11900.0,81826.0,2478842.0,0.0,802770.0,3217777.0,855921.0,1021310.0,277732.0,119203.0
2000-01-31,291869.0,,,223.0,,67724.0,35285.0,,200123.0,,,38447.0,,,64767.0,0.0,903258.0,178783.0,,923208.0,60441.0,,,72749.0,612017.0,63823.0,207098.0,16501102.0,224187.0,262203.0,4500.0,,,2086623.0,215142.0,,,,,97448.0,262203.0,336352.0,748119.0,332800.0,11278.0,,190731.0,,265870.0,86801.0,167968.0,1010873.0,41268.0,,,4366619.0,926633.0,,28898.0,120256.0,98428.0,1188134.0,205520.0,537088.0,9600.0,145458.0,10301413.0,0.0,947157.0,1764791.0,1113111.0,625015.0,371644.0,222187.0
